smiles,inchikey,group,fold
CC(=O)N[C@@H](CC1=CC=CC=C1)C2=CC(=CC(=O)O2)OC,VFMQMACUYWGDOJ,5,train
C[C@H]1CCCC(=O)CCC/C=C/C2=C(C(=CC(=C2)O)O)C(=O)O1,MBMQEIFVQACCCH,1,train
CC(C)(C=C)C1(C2=CC=CC=C2N(C1=O)O)CC3C(=O)N/C(=C/C4=CN=CN4)/C(=O)N3,GIYROBMIPLLHQE,3,train
C[C@@H]1C[C@H]2[C@H](O2)/C=C\C(=O)CC(=O)O1,MXRJZFNJVFPSQN,5,train
CC12CC3=C(C(O1)C[C@@H](O2)C(=O)O)C(=C4C(=O)C=C(C(=O)C4=C3O)OC)O,HNMWDXUKPJZOQD,9,train
C[C@H]1CN([C@@H]2CC3=CNC4=CC=CC(=C34)[C@H]2[C@@H]1OC(=O)C)C,GJSSYQDXZLZOLR,6,train
CC[C@H](C)[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)C(C)C)C)C(C)C)C(C)C)C)C(C)C,UQCSETXJXJTMKO,1,train
CC1=C[C@@H]2[C@]([C@@H](C1=O)O)([C@]3([C@@H]([C@H]([C@H]([C@@]34CO4)O2)O)OC(=O)C)C)CO,XGCUCFKWVIWWNW,3,train
CC1=CC(=O)C2=C(C3=C(C=C(C=C3C=C2O1)OC)O)O,FPNKCZKRICBAKG,5,test
CC1=C[C@@H]2[C@@]3(CC1)COC(=O)/C=C(/CCO[C@@H](/C=C/C=C\C(=O)O[C@H]4[C@]3([C@]5(CO5)[C@@H](C4)O2)C)[C@H](C)O)\C,KEEQQEKLEZRLDS,2,train
CC(C)C[C@H]1C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N([C@H](C(=O)O[C@@H](C(=O)N1C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C)CC(C)C)C)C(C)C,QVZZPLDJERFENQ,11,test
COC1=C2C3=C(C(=O)OCC3)C(=O)OC2=C4[C@@H]5CCO[C@@H]5OC4=C1,WPCVRWVBBXIRMA,1,train
